=== 最早开始的 runs（用户提问起点）===
  ChatDeepSeek | llm | start=2026-08-07 02:10:52.003683+00:00 | end=2026-08-07 02:10:54.672525+00:00
  TodoListMiddleware.after_model | chain | start=2026-08-07 02:10:54.748048+00:00 | end=2026-08-07 02:10:54.749184+00:00
  tools | chain | start=2026-08-07 02:10:54.750784+00:00 | end=2026-08-07 02:10:54.765593+00:00
  FilesystemMiddleware.awrap_tool_call | chain | start=2026-08-07 02:10:54.751629+00:00 | end=2026-08-07 02:10:54.763869+00:00
  write_file | tool | start=2026-08-07 02:10:54.753516+00:00 | end=2026-08-07 02:10:54.763505+00:00

=== 最晚结束的 runs（查询完成）===
  TodoListMiddleware.after_model | chain | start=2026-08-07 02:12:09.207226+00:00 | end=2026-08-07 02:12:09.208826+00:00
  model | chain | start=2026-08-07 02:12:03.871874+00:00 | end=2026-08-07 02:12:09.203067+00:00
  TodoListMiddleware.awrap_model_call | chain | start=2026-08-07 02:12:03.873761+00:00 | end=2026-08-07 02:12:09.197075+00:00
  FilesystemMiddleware.awrap_model_call | chain | start=2026-08-07 02:12:03.879615+00:00 | end=2026-08-07 02:12:09.191927+00:00
  SubAgentMiddleware.awrap_model_call | chain | start=2026-08-07 02:12:03.885813+00:00 | end=2026-08-07 02:12:09.184627+00:00

=== 顶层 runs（根节点）===
  ChatDeepSeek | llm | start=2026-08-07 02:10:52.003683+00:00 | end=2026-08-07 02:10:54.672525+00:00
  TodoListMiddleware.after_model | chain | start=2026-08-07 02:10:54.748048+00:00 | end=2026-08-07 02:10:54.749184+00:00
  tools | chain | start=2026-08-07 02:10:54.750784+00:00 | end=2026-08-07 02:10:54.765593+00:00
  model | chain | start=2026-08-07 02:10:54.768081+00:00 | end=2026-08-07 02:10:57.138144+00:00
  TodoListMiddleware.after_model | chain | start=2026-08-07 02:10:57.142533+00:00 | end=2026-08-07 02:10:57.144113+00:00
  tools | chain | start=2026-08-07 02:10:57.147743+00:00 | end=2026-08-07 02:10:57.168474+00:00
  model | chain | start=2026-08-07 02:10:57.172158+00:00 | end=2026-08-07 02:10:59.436636+00:00
  TodoListMiddleware.after_model | chain | start=2026-08-07 02:10:59.439480+00:00 | end=2026-08-07 02:10:59.440562+00:00
  tools | chain | start=2026-08-07 02:10:59.442189+00:00 | end=2026-08-07 02:11:03.355174+00:00
  model | chain | start=2026-08-07 02:11:03.380949+00:00 | end=2026-08-07 02:11:05.206003+00:00
  TodoListMiddleware.after_model | chain | start=2026-08-07 02:11:05.209669+00:00 | end=2026-08-07 02:11:05.210629+00:00
  tools | chain | start=2026-08-07 02:11:05.211985+00:00 | end=2026-08-07 02:11:05.222445+00:00
  model | chain | start=2026-08-07 02:11:05.226180+00:00 | end=2026-08-07 02:11:09.644524+00:00
  TodoListMiddleware.after_model | chain | start=2026-08-07 02:11:09.647638+00:00 | end=2026-08-07 02:11:09.648801+00:00
  tools | chain | start=2026-08-07 02:11:09.650948+00:00 | end=2026-08-07 02:11:09.667929+00:00
  model | chain | start=2026-08-07 02:11:09.671466+00:00 | end=2026-08-07 02:11:11.690928+00:00
  TodoListMiddleware.after_model | chain | start=2026-08-07 02:11:11.696598+00:00 | end=2026-08-07 02:11:11.698893+00:00
  tools | chain | start=2026-08-07 02:11:11.702349+00:00 | end=2026-08-07 02:11:59.834852+00:00
  model | chain | start=2026-08-07 02:11:59.838857+00:00 | end=2026-08-07 02:12:03.844435+00:00
  TodoListMiddleware.after_model | chain | start=2026-08-07 02:12:03.848469+00:00 | end=2026-08-07 02:12:03.849900+00:00
  tools | chain | start=2026-08-07 02:12:03.851870+00:00 | end=2026-08-07 02:12:03.868674+00:00
  model | chain | start=2026-08-07 02:12:03.871874+00:00 | end=2026-08-07 02:12:09.203067+00:00
  TodoListMiddleware.after_model | chain | start=2026-08-07 02:12:09.207226+00:00 | end=2026-08-07 02:12:09.208826+00:00
